     21 same	sex
     18 sex	marriage
     14 in	the
      9 of	the
      7 Latin	America
      6 to	the
      6 on	the
      6 El	Salvador
      6 Costa	Rica
      5 to	legalize
      5 the	region
      5 is	a
      5 in	El
      4 with	Sketch
      4 to	be
      4 the	law
      4 the	first
      4 LGBT	rights
      4 legalize	same
      4 Human	Rights
      4 human	rights
      4 for	the
      4 been	won
      4 at	the
      4 able	to
      3 the	world
      3 the	US
      3 the	same
      3 the	most
      3 the	LGBT
      3 the	global
      3 the	fight
      3 sex	couples
      3 said	Arroyo
      3 one	of
      3 of	same
      3 of	LGBT
      3 marriage	is
      3 marriage	in
      3 Latin	American
      3 in	a
      3 have	been
      3 has	a
      3 global	economy
      3 fight	for
      3 Costa	Ricans
      3 by	the
      3 at	least
      3 as	a
      3 against	LGBT
      3 across	the
      2 won	without
      2 who	has
      2 where	marriage
      2 where	important
      2 we	don
      2 we	are
      2 was	scared
      2 US	gay
      2 to	fight
      2 to	democratic
      2 to	citizens
      2 This	means
      2 these	outlier
      2 there	is
      2 their	British
      2 the	state
      2 the	Spanish
      2 the	ruling
      2 the	new
      2 the	legalization
      2 the	forefront
      2 the	focus
      2 the	English
      2 the	church
      2 the	campaign
      2 the	Argentine
      2 that	we
      2 that	all
      2 t	have
      2 still	seems
      2 Spanish	or
      2 seems	like
      2 Securing	basic
      2 said	Paulon
      2 safety	remain
      2 sadly	still
      2 rights	movement
      2 rights	like
      2 right	to
      2 Rica	s
      2 remain	at
      2 range	of
      2 presidential	elections
      2 Portuguese	never
      2 personal	safety
      2 Paulon	who
      2 overshadowed	other
      2 outlier	nations
      2 other	countries
      2 organizations	in
      2 or	Portuguese
      2 on	Human
      2 of	violence
      2 of	these
      2 of	our
      2 of	many
      2 of	being
      2 new	global
      2 never	fully
      2 nations	where
      2 most	progressive
      2 marriage	The
      2 marriage	sadly
      2 marriage	rights
      2 marriage	equality
      2 like	their
      2 like	personal
      2 like	a
      2 life	and
      2 LGBT	population
      2 LGBT	organizations
      2 levels	of
      2 legalization	of
      2 leader	in
      2 It	s
      2 is	still
      2 in	Mexico
      2 in	LGBT
      2 in	Costa
      2 in	Argentina
      2 important	gains
      2 I	was
      2 homosexuality	like
      2 have	to
      2 have	the
      2 hate	crimes
      2 has	overshadowed
      2 has	become
      2 global	LGBT
      2 get	married
      2 gender	identity
      2 gay	rights
      2 gains	have
      2 fully	criminalized
      2 friends	and
      2 forefront	of
      2 for	this
      2 for	same
      2 for	Costa
      2 focus	on
      2 first	Latin
      2 Fabricio	Alvarado
      2 equal	rights
      2 English	speaking
      2 don	t
      2 distant	dream
      2 discrimination	against
      2 didn	t
      2 criminalized	homosexuality
      2 countries	where
      2 countries	in
      2 Countries	colonized
      2 colonized	by
      2 colonial	counterparts
      2 change	their
      2 British	colonial
      2 became	a
      2 basic	rights
      2 Arroyo	was
      2 Argentina	the
      2 Argentina	has
      2 Argentina	also
      2 and	the
      2 and	that
      2 and	gender
      2 America	s
      2 America	is
      2 America	has
      2 also	have
      2 all	families
      2 against	the
      2 access	to
      2 a	step
      2 a	personal
      2 a	distant
      1 your	inbox
      1 you	also
      1 yet	to
      1 Yet	as
      1 years	after
      1 year	The
      1 www	googletagmanager
      1 would	have
      1 would	ever
      1 worth	this
      1 worst	as
      1 world	to
      1 world	s
      1 world	Most
      1 world	has
      1 works	with
      1 work	of
      1 Work	Management
      1 won	Since
      1 won	Finally
      1 women	in
      1 without	vocal
      1 without	the
      1 without	resistance
      1 without	knowing
      1 without	first
      1 within	the
      1 with	their
      1 with	the
      1 with	something
      1 with	religion
      1 with	rainbow
      1 with	more
      1 with	levels
      1 with	friends
      1 win	but
      1 will	they
      1 wide	ranging
      1 wide	range
      1 who	works
      1 who	we
      1 who	rallied
      1 who	didn
      1 who	celebrated
      1 while	human
      1 While	credit
      1 which	set
      1 which	quickly
      1 which	is
      1 which	include
      1 which	Díez
      1 which	Costa
      1 when	we
      1 when	same
      1 were	successful
      1 were	on
      1 were	married
      1 were	key
      1 were	galvanized
      1 were	at
      1 were	able
      1 well	in
      1 weekend	Editions
      1 wedge	issue
      1 We	want
      1 we	think
      1 we	said
      1 we	can
      1 way	to
      1 way	it
      1 watched	the
      1 Watch	Following
      1 wasn	t
      1 was	prepared
      1 was	passed
      1 was	overwhelmingly
      1 was	one
      1 was	how
      1 was	hospitalized
      1 was	beaten
      1 was	Argentina
      1 was	among
      1 want	to
      1 want	all
      1 vocal	and
      1 violent	resistance
      1 violence	she
      1 violence	against
      1 view	at
      1 victory	said
      1 vice	president
      1 vibrant	activist
      1 very	strong
      1 using	the
      1 us	the
      1 US	Argentina
      1 us	a
      1 Uruguay	Mexico
      1 Uruguay	Colombia
      1 up	by
      1 until	2013
      1 unlikely	leadership
      1 unlikely	leader
      1 University	of
      1 United	Kingdom
      1 unique	relationship
      1 unions	between
      1 Unfortunately	there
      1 understand	that
      1 UNDER	THE
      1 unconscious	by
      1 ultimate	objective
      1 type	of
      1 turning	a
      1 True	Latin
      1 treatment	of
      1 traveled	across
      1 transitioned	from
      1 transition	surgery
      1 transgender	rights
      1 transgender	folks
      1 trans	Salvadorans
      1 trans	rights
      1 trans	men
      1 trans	man
      1 topics	of
      1 tools	as
      1 to	which
      1 to	understand
      1 to	this
      1 to	shine
      1 to	same
      1 to	receive
      1 to	publicly
      1 to	Mexico
      1 to	March
      1 to	Life
      1 to	let
      1 to	legally
      1 to	halt
      1 to	go
      1 to	getting
      1 to	get
      1 to	gender
      1 to	fully
      1 to	Evangelical
      1 to	Díez
      1 to	change
      1 to	celebrate
      1 to	at
      1 to	approve
      1 to	allow
      1 to	all
      1 to	afford
      1 to	access
      1 to	a
      1 time	violent
      1 time	saw
      1 time	in
      1 tight	race
      1 Throughout	the
      1 three	years
      1 though	they
      1 though	not
      1 this	summer
      1 This	story
      1 this	spring
      1 this	right
      1 this	movement
      1 this	is
      1 this	inevitably
      1 this	fight
      1 this	achievement
      1 think	about
      1 they	were
      1 they	respond
      1 they	met
      1 they	are
      1 These	networks
      1 These	are
      1 these	Anglophone
      1 These	advances
      1 There	were
      1 therapy	and
      1 then	Pena
      1 them	give
      1 their	name
      1 their	marriages
      1 their	gender
      1 their	friends
      1 the	worst
      1 the	work
      1 the	United
      1 the	ultimate
      1 the	time
      1 the	tenth
      1 the	target
      1 the	rise
      1 The	Right
      1 the	right
      1 the	results
      1 the	reason
      1 THE	RADAR
      1 the	Quartz
      1 the	point
      1 the	organization
      1 the	mayoral
      1 the	life
      1 the	legislative
      1 the	legacy
      1 the	journey
      1 the	InterAmerican
      1 the	Inter
      1 the	infiltration
      1 The	important
      1 the	IACHR
      1 the	Hispanidad
      1 the	handful
      1 The	goal
      1 The	fact
      1 the	equal
      1 the	end
      1 the	early
      1 the	development
      1 The	decision
      1 the	day
      1 the	course
      1 the	core
      1 the	continent
      1 The	Campaign
      1 the	basis
      1 the	ballot
      1 The	announcement
      1 the	Americas
      1 the	American
      1 the	advance
      1 the	1960s
      1 that	the
      1 that	sparked
      1 that	public
      1 that	of
      1 that	marriage
      1 that	LGBT
      1 that	have
      1 that	drive
      1 that	allows
      1 than	in
      1 than	a
      1 than	15
      1 tenth	country
      1 target	of
      1 tallied	nearly
      1 taken	up
      1 Tags	mexico
      1 t	win
      1 t	want
      1 t	legalized
      1 t	been
      1 system	has
      1 symbolic	The
      1 surprisingly	strong
      1 surgery	While
      1 surgery	Argentina
      1 support	for
      1 support	by
      1 summer	Also
      1 such	as
      1 successfully	appealed
      1 successful	in
      1 study	by
      1 studied	the
      1 struggle	rather
      1 strong	history
      1 strong	church
      1 strong	association
      1 story	is
      1 stories	of
      1 Still	same
      1 still	not
      1 still	a
      1 step	which
      1 step	forward
      1 states	have
      1 state	says
      1 state	REUTERS
      1 start	to
      1 spring	during
      1 speaking	world
      1 speaking	out
      1 speaking	Caribbean
      1 sparked	national
      1 Spain	was
      1 something	fresh
      1 some	way
      1 some	type
      1 some	of
      1 societies	both
      1 social	perception
      1 so	the
      1 so	profoundly
      1 so	Not
      1 small	victory
      1 slow	to
      1 slated	for
      1 Sketch	ObsessionsCreated
      1 Sketch	LatestCreated
      1 Sketch	FeaturedCreated
      1 Sketch	EmailsEditions
      1 Since	then
      1 Since	Argentina
      1 Since	2010
      1 Similar	approaches
      1 signatory	countries
      1 shine	in
      1 shift	founded
      1 She	watched
      1 she	said
      1 share	and
      1 sexual	diversity
      1 sex	rights
      1 set	an
      1 series	on
      1 seismic	importance
      1 seat	on
      1 season	for
      1 search	BUTTON
      1 score	lowest
      1 scared	I
      1 scared	for
      1 scared	anymore
      1 says	that
      1 says	It
      1 says	Díez
      1 says	but
      1 saw	this
      1 San	Jose
      1 same	worth
      1 same	tools
      1 Same	sex
      1 Salvadorans	to
      1 Salvadorans	last
      1 Salvador	was
      1 Salvador	start
