      2 Submit	打开App
      1 首先	中国的传统伦理观导致人们对于同性恋的接纳程度较低
      1 通过观念的普及使大众接受是立法的必经之途	只有通过宣传教育使公众理解同性恋与异性恋的平等关系才能推演至同性婚姻的合理
      1 这些都会导致婚姻关系极为脆弱	综上所述
      1 这些现象不仅揭示了利用立法来提高社会接纳程度这一立法条件存在逻辑上的错误	更损害了政府的权威性
      1 谢谢主席	评委
      1 请开启后重新打开该页面	logo
      1 评委	对方辩友
      1 认为	同性婚姻在当今中国不应该合法化
      1 规定了中国立法的四项基本原则	其中的民主原则明确说明立法应当体现广大人民的意志和要求
      1 要求脱离荷兰	法国数十
      1 著作权归作者所有	__________________________________________________________________
      1 荷兰通过了同性恋婚姻法导致加勒比岛岛民集体抗议	要求脱离荷兰
      1 而非建立在社会对同性婚姻	普遍接受的基础之上
      1 而接纳程度仍停留在较低水平	中国同性恋调查
      1 而在当今的中国	同性恋与异性恋平等的观念尚未普及
      1 而中国目前处于第一阶段向第二阶段转变的过程中	依照
      1 而不是以政府的意	志或少数人的意志为依归
      1 美国最高法院以5	4的投票结果出台同性婚姻法后
      1 美国德州最高检察官竟宣称其所属郡县的工作人员仍可拒绝给同	性恋者颁发结婚证
      1 综上所述	通过观念的普及使大众接受是立法的必经之途
      1 简书作者	2016
      1 第二	如果越过观念普及的环节进行立法
      1 第三	在当今中国的社会背景下实现同性婚姻的合法化
      1 立法法	规定了中国立法的四项基本原则
      1 立法法	的规定
      1 社会接纳程度的低水平造成了不应该为同性婚姻立法的现实	我方认为
      1 的规定	中国只有转型至第三阶段
      1 的执行	请开启后重新打开该页面
      1 的人认为同性恋是一种心理扭曲	正如刘达临教授所说
      1 病态	同性爱与异性爱一样
      1 然	而接纳程度仍停留在较低水平
      1 热门文章	下载简书
      1 法律的承认即为事实上的公开	在社会大众理解度不高的情况下
      1 法律实施过程中将不可避免地产生一系列社会问题	例如
      1 法国数十	万人上街反对同性恋婚姻法案
      1 正如刘达临教授所说	同性爱的认识主要分为三个阶段
      1 更有甚者	美国最高法院以5
      1 更损害了政府的权威性	第三
      1 普遍接受的基础之上	法律实施过程中将不可避免地产生一系列社会问题
      1 显示40	5
      1 是一种正常的性取向	而中国目前处于第一阶段向第二阶段转变的过程中
      1 接受世界的赞赏	Submit
      1 技水平和社会福利决定了他们拥有后代的困难和晚年的缺少保障	这些都会导致婚姻关系极为脆弱
      1 打开App	谢谢主席
      1 打开App	热门文章
      1 才能达到同性恋婚姻法的立法要求	第二
      1 我方认为	在当
      1 我方坚持	认为
      1 您的运行环境禁止了	JavaScript
      1 性爱有罪论	同性爱无罪但反常
